time,seconds_elapsed,z,y,x
1710998616077567000,0.02056689453125,-9.749842071107029,-0.9716987410861998,0.4083707748694345
1710998616177449700,0.12044970703125,-9.752305246350168,-0.960514937640354,0.3746151106640696
1710998616277331700,0.220331787109375,-9.750825821447371,-0.9737395261988043,0.37896603588256983
1710998616377214700,0.320214599609375,-9.752890937283635,-0.9569318184565753,0.3684946550223976
1710998616477096700,0.4200966796875,-9.747686938899754,-1.0098489504560828,0.3649462783584371
1710998616576980200,0.519980224609375,-9.744130707722901,-1.040616940620169,0.3733908295661211
1710998616676862000,0.619862060546875,-9.740248313331604,-1.097107766387984,0.3070946490988135
1710998616776745000,0.719744873046875,-9.735449973139167,-1.1396520459983497,0.30428003006950016
1710998616876628000,0.8196279296875,-9.731890819352865,-1.1650699803713709,0.32139614617377515
1710998616976510000,0.919510009765625,-9.738822664442658,-1.1182202586520462,0.27441845069322734
1710998617076393200,1.019393310546875,-9.741051446408033,-1.1099987390778958,0.22405544188963247
1710998617176275000,1.11927490234375,-9.73747475696504,-1.1426442135516552,0.2152545149923302
1710998617276158200,1.219158203125,-9.733991006502508,-1.1761233623705805,0.19114632977731524
1710998617376040000,1.3190400390625,-9.736630707356333,-1.1465810415439308,0.23185851685600353
1710998617475923000,1.4189228515625,-9.74713807284534,-1.0467593158327042,0.26072766939513387
1710998617575805000,1.518804931640625,-9.760420748266577,-0.9191687817733735,0.24433520965659988
1710998617675688000,1.61868798828125,-9.766268889772892,-0.8596150613036007,0.22680318796150384
1710998617775570000,1.71856982421875,-9.765007491534949,-0.882047403994575,0.19238032855167983
1710998617875453000,1.818452880859375,-9.757516843518614,-0.9555893908716737,0.21930654859580098
1710998617975335200,1.918335205078125,-9.750352358716725,-0.992427202468738,0.3407387792211026
1710998618075218000,2.018218017578125,-9.728777071246505,-1.1923235326737165,0.31566688180677593
1710998618175100200,2.11810009765625,-9.727356098532676,-1.2271157368525862,0.2076426517491229
1710998618274983000,2.21798291015625,-9.724448686653375,-1.2613861091144383,0.11996520854635163
1710998618374866000,2.317865966796875,-9.7275530824095,-1.2405877973660826,0.07768960807584226
1710998618474748200,2.417748046875,-9.726351305404306,-1.248152825792879,0.10290514261140488
1710998618574631400,2.51763134765625,-9.710457570701838,-1.3369216809615492,0.3000557451716624
1710998618674513400,2.617513427734375,-9.706540104997158,-1.346521283955872,0.37462840853706
1710998618774396400,2.717396484375,-9.696910106864571,-1.3879704618059099,0.46244445649292315
1710998618874278400,2.8172783203125,-9.701915952327846,-1.3378035783626139,0.5034848343463614
1710998618974161400,2.917161376953125,-9.71058148934245,-1.273257456433028,0.5037925485886633
1710998619074043400,3.01704345703125,-9.71313935713172,-1.1731778835032134,0.6700438718885183
1710998619173926400,3.116926513671875,-9.730142514380812,-1.049883585333079,0.6264644040115177
1710998619273809400,3.216809326171875,-9.73743968565166,-0.95684129062891,0.6611392654210329
1710998619373691400,3.31669140625,-9.709712305292486,-1.279624361116439,0.5044176216844469
1710998619473574400,3.416574462890625,-9.71087784194052,-1.2891570363543927,0.4553153352653607
1710998619573456000,3.516455810546875,-9.712008307275175,-1.3315860190220177,0.27232677564360197
1710998619673339000,3.6163388671875,-9.715603116896748,-1.3312874744668601,0.07150181368584745
1710998619773220900,3.716220947265625,-9.695883101904391,-1.4675899419657885,0.08010641429345124
1710998619873104000,3.816103759765625,-9.722252053391934,-1.2822899270638823,0.06271866447383072
1710998619972987000,3.91598681640625,-9.707849434030056,-1.3783810879446565,0.16765896160807459
1710998620072868900,4.015868896484375,-9.73314987950325,-1.196794832868874,-0.062121547964052296
1710998620172752000,4.115751953125,-9.736185301676391,-1.172975711994618,-0.034692417615803425
1710998620272635000,4.215634765625,-9.752187757450342,-1.0199269115518779,-0.158025109284278
1710998620372516900,4.315516845703125,-9.762788646441697,-0.9237819746572524,-0.07045032730496023
1710998620472400000,4.41539990234375,-9.769743287885188,-0.796694494749233,-0.2962653216464445
1710998620572282000,4.5152822265625,-9.77324691209197,-0.7838981415402144,-0.19884092113422228
1710998620672165000,4.6151650390625,-9.79267992683649,-0.5016310962384566,-0.14887804496358148
1710998620772048000,4.7150478515625,-9.791754628685116,-0.501797210052982,-0.2003194327215664
1710998620871930000,4.81493017578125,-9.796064893099665,-0.44151776912454516,-0.11204210566319525
1710998620971812900,4.914812744140625,-9.785213244217633,-0.6475320342205464,0.026264963673392774
1710998621071696100,5.014696044921875,-9.793699333012103,-0.49660439065024253,-0.08497886090171523
1710998621171578000,5.114578125,-9.790092248430847,-0.5690767390018329,0.02508658124351641
1710998621271461000,5.214461181640625,-9.795465758162736,-0.46391792657896874,-0.0633672143433243
1710998621371343000,5.314343017578125,-9.796786193111538,-0.4329398738607764,-0.07696826239819637
1710998621471225900,5.414225830078125,-9.793902746629714,-0.4912114820981398,-0.0925643932604231
1710998621571108600,5.514108642578125,-9.788643803188204,-0.5792963005254045,0.13136844516284762
1710998621670990600,5.613990478515625,-9.784093884798883,-0.6160260851707309,-0.24981207016510887
1710998621770873900,5.713873779296875,-9.77809376760125,-0.7467084477655589,-0.04108334934548474
1710998621870756600,5.813756591796875,-9.778128838914633,-0.7454984874539077,-0.05307318564432207
1710998621970638800,5.913638916015625,-9.778210671979188,-0.7337854725021868,-0.13616530578425154
1710998622070521600,6.013521484375,-9.78501509129703,-0.65057476291731,-0.024861268604639917
1710998622170404600,6.113404541015625,-9.77151146660149,-0.8225411759283393,0.10666170953279361
1710998622270286800,6.213286865234375,-9.783197812741994,-0.670228142414242,0.10106176150073297
1710998622370169600,6.313169677734375,-9.77719886458814,-0.7594193877134472,0.006783023190897074
1710998622470052600,6.413052490234375,-9.776149647796153,-0.7727431257974356,0.012165985166898463
1710998622569936000,6.512935791015625,-9.773458509016036,-0.8060438493095338,-0.013750031496438896
1710998622669818600,6.612818603515625,-9.760175833594799,-0.9453473252553493,-0.1251894460006617
1710998622769701600,6.71270166015625,-9.729107326114177,-1.2280974413663148,0.08141472954619676
1710998622869583600,6.81258349609375,-9.760393275737762,-0.9368578023947775,0.16555309363631532
1710998622969466600,6.912466552734375,-9.782301156163214,-0.6905434929512441,0.010780764186463784
1710998623069350000,7.012349853515625,-9.781394562712311,-0.6982063557293265,0.08491625312743709
1710998623169232600,7.112232666015625,-9.791329096749424,-0.5476556191800162,0.01832236493025557
1710998623269114600,7.212114501953125,-9.785635853543877,-0.6305380101259798,0.11891800104836002
1710998623368997600,7.31199755859375,-9.75388696258366,-0.919261866884306,0.43246915107648815
1710998623468880600,7.411880615234375,-9.768466692078112,-0.7246240417294204,0.4715489694466814
1710998623568762600,7.5117626953125,-9.765440037733315,-0.8067879456751048,0.3945327671203762
1710998623668645400,7.611645263671875,-9.76390332968533,-0.8589083743389695,0.3144072736671194
1710998623768528400,7.7115283203125,-9.76420435845852,-0.8821969685330986,0.2289706681936979
1710998623868410400,7.811410400390625,-9.766745859634876,-0.8683909998901188,0.16418224367452786
1710998623968293400,7.91129345703125,-9.754458040469885,-1.010132516637817,0.023686655884294302
1710998624068176400,8.01117626953125,-9.748158063542842,-1.0691767532154917,0.0257691406971775
1710998624168059400,8.111059326171874,-9.737805596354603,-1.1438320350967346,0.1928182085122913
1710998624267941400,8.21094140625,-9.75334744887948,-1.0094120934087782,0.15391082409955562
1710998624367824400,8.310824462890626,-9.749389651164412,-1.0430332810468972,0.17852195386802777
1710998624467707400,8.410707275390624,-9.76317793802023,-0.9186291219387203,0.08280021995468996
1710998624567588900,8.5105888671875,-9.767610367509722,-0.8735757090516388,0.032177672015631105
1710998624667472000,8.610471923828126,-9.764825705227254,-0.9007500586379319,-0.0849405199190136
1710998624767355000,8.71035498046875,-9.763031807547808,-0.9051908906295895,-0.1849968124379404
1710998624867238000,8.81023779296875,-9.769233000275491,-0.840028025041148,-0.16376787245366722
1710998624967120000,8.910119873046876,-9.785343592599034,-0.5520290850238875,-0.33570582655519243
1710998625067003000,9.0100029296875,-9.79405881397426,-0.3209560742560774,-0.3791878619397059
1710998625166886000,9.109885986328125,-9.79877649014592,-0.22029623548658564,-0.32532157598920164
1710998625266769000,9.209768798828126,-9.794574946802854,-0.2064506289529614,-0.4405218899549916
1710998625366651600,9.309651611328125,-9.78939608286023,-0.19737378945741801,-0.5469438541814684
1710998625466535000,9.409534912109375,-9.784742704096436,-0.08862008521459065,-0.6491064439304173
1710998625566417400,9.50941748046875,-9.781690330788493,-0.1035554597462993,-0.6915125571791082
1710998625666300400,9.609300537109375,-9.785506674206257,-0.1412719173414167,-0.6279177446249872
1710998625766183400,9.709183349609376,-9.792403447982668,-0.0841824315607082,-0.5216601041147485
1710998625866066400,9.80906640625,-9.795820562949777,-0.017294959252921398,-0.4604164577966556
1710998625965949200,9.90894921875,-9.801623111748695,-0.08242342253155074,-0.3029344424131326
1710998626065832400,10.00883251953125,-9.804369780108333,-0.2030760927522555,-0.05893361124347429
1710998626165715500,10.108715576171875,-9.801737093517184,-0.2623979954938404,0.16578118503745645
1710998626265598200,10.20859814453125,-9.801934077394009,-0.1869597648076713,0.2398234495868906
1710998626365481500,10.3084814453125,-9.803584767210483,-0.0502275321559282,0.2399818184863776
1710998626465363500,10.408363525390625,-9.805463420563935,0.000381882164216222,0.15253316080449147
1710998626565246200,10.50824609375,-9.805869663277267,-0.04655267956808675,0.11464184896596706
1710998626665129200,10.608129150390624,-9.797780464845895,-0.3553021786352619,0.2182733878894709
1710998626765012000,10.708011962890625,-9.801002934023737,-0.28077253242768346,0.1785847351722419
1710998626864895200,10.807895263671876,-9.797002466210722,-0.4219947745416313,-0.10508178339758888
1710998626964778200,10.9077783203125,-9.798733820047975,-0.34147644584588704,-0.19645108512192963
1710998627064661000,11.007660888671875,-9.801619604617356,-0.20010739740608258,-0.24207117371475323
1710998627164544000,11.1075439453125,-9.802449625700712,-0.0896620685481932,-0.2726257220575586
1710998627264427300,11.20742724609375,-9.802611538264156,-0.26238424096312374,-0.10173225377397611
1710998627364311300,11.307311279296876,-9.784985865202545,-0.6473970096640288,0.07290644261965062
1710998627464194000,11.407194091796875,-9.781333772435783,-0.6993540644597261,0.08247148119066841
1710998627564077000,11.5070771484375,-9.771127435719967,-0.7772465016312897,0.302229983938206
1710998627663960000,11.6069599609375,-9.772012401860952,-0.7905574532989412,0.23061162206744773
1710998627763843000,11.706843017578125,-9.781242587020992,-0.6871913329791277,0.15951867231028152
1710998627863726000,11.80672607421875,-9.770285724198818,-0.8295543426260351,0.15406290938872844
1710998627963609000,11.906609130859374,-9.779559163978695,-0.7138333292543888,0.14509109203708356
1710998628063492000,12.0064921875,-9.781709035488962,-0.6948218278575689,-0.07598549387196545
1710998628163375000,12.106375,-9.778025963062047,-0.748474580655247,0.019446239552274345
1710998628263257900,12.2062578125,-9.785717102086544,-0.6364609704341739,-0.07097731945428531
1710998628363141000,12.30614111328125,-9.783912683013082,-0.6524390224192291,0.14055845357612706
1710998628463024000,12.406024169921874,-9.763799284788966,-0.8070596022233366,0.4327392001895234
1710998628562908200,12.505908203125,-9.775736975342035,-0.6262983267296105,0.46163138654436914
1710998628662791200,12.605791259765626,-9.79064520613849,-0.4061273067915812,0.38562443432584403
1710998628762674400,12.70567431640625,-9.798958860975503,-0.3828821133477613,0.0647700805783039
1710998628862557200,12.80555712890625,-9.792539057061076,-0.5254925218844786,0.0206003848733264
1710998628962440200,12.905440185546874,-9.78195395016074,-0.6955255922127515,0.0004877182291591452
1710998629062323500,13.005323486328125,-9.780001647049188,-0.7222901188891381,0.01576898836972541
1710998629162206200,13.105206298828126,-9.767360776662827,-0.876710865272209,-0.020652119627140926
1710998629262090200,13.20509033203125,-9.779510064139961,-0.7234769175209105,0.09025987917771562
1710998629361973200,13.30497314453125,-9.781558813363313,-0.6988686190303415,0.055425762952724465
1710998629461856300,13.404856201171874,-9.784705879217386,-0.6508505841840058,0.07942916348585859
1710998629561739500,13.504739501953125,-9.766004685878753,-0.8672801891040056,0.20822505474695935
1710998629661622500,13.60462255859375,-9.785344761642813,-0.5754484294582158,0.29371967401793225
1710998629761505500,13.704505615234375,-9.775559865209459,-0.6805058638658374,0.38174609505515544
1710998629861389600,13.8043896484375,-9.768142282429338,-0.6765349144082516,0.5441330345444381
1710998629961272600,13.9042724609375,-9.770707749003172,-0.6477712498039007,0.5329594236990437
1710998630061155600,14.004155517578125,-9.7806130569458,-0.600869176842831,0.3859353269059211
1710998630161038600,14.10403857421875,-9.78013082638681,-0.681421371275559,0.23471834500022232
1710998630260921600,14.203921630859375,-9.794999309694767,-0.4740863424371928,0.06012314068845007
1710998630360805600,14.3038056640625,-9.800783738315104,-0.33886198903117326,-0.013812232845340621
1710998630460688600,14.403688720703125,-9.796886146354675,-0.3685431703392416,0.23577041133642196
1710998630560571600,14.503571533203125,-9.800565711650252,-0.2755175162426196,0.2082925852915272
1710998630660454400,14.603454345703126,-9.798436882928014,-0.3443777567779645,0.20597550398819148
1710998630760337700,14.703337646484375,-9.776225051119923,-0.6260412832286208,0.4515365108463913
